generateSuboptDBperMap.m |    18-Nov-2016 10:04:33

Scenario uniMap_3_9
error STD 0.0
cutoff 1.0K

Loaded scenarios/uniMap_3_9.mat
	maps 3 | problems 9, 3.0 per map
subopt 1.0 | solved 1 | 0.19 s
subopt 1.0 | solved 1 | 0.52 s
subopt 1.0 | solved 1 | 0.85 s
subopt 1.1 | solved 1 | 1.76 s
subopt 1.0 | solved 1 | 0.52 s
subopt 1.0 | solved 1 | 0.43 s
subopt 1.3 | solved 1 | 2.91 s
subopt 15.5 | solved 1 | 46.16 s
subopt 23.3 | solved 1 | 44.69 s
subopt 5.1 | solved 100.0% | 1.5 m
Train_Neural_Network(false,'',false)
